,titulo,fecha,nota,link
0,Dólar blue hoy: El 18 de septiembre no se movió y cerró a $ 140,"18 de septiembre, 2020 | 17.42","Sobre el final de una semana agitada para el mercado cambiario, el dólar blue operó sin cambios a $ 140, aunque llegó a tocar los $ 139 durante el mediodía. De esta manera, acumuló un alza de nueve pesos en los últimos cinco días luego de que el Banco Central (BCRA) anunciara mayores restricciones sobre el cepo para frenar la pérdida de reservas.Guerra Judicial en ArgentinaEl blue llegó a tocar un techo de $ 150 el miércoles, día en que el Directorio del BCRA fijara las nuevas medidas que aumentaron las limitaciones sobre el cupo mensual de compra de 200 dólares. En esta jornada, el tipo de cambio mayorista avanzó seis centavos a $ 75,38 por unidad, precio al que el Central elevaba la ficha por U$S 50 millones que mantiene en el MULC.MÁS INFOEn paralelo, las cotizaciones financieras mostraron leves aumentos. El dólar MEP operó a $ 127,10 (+0,6%), mientras que el contado con liqui (CCL) se ubicó en los $ 133 (+0,6%).El dólar ahorro, que suma el impuesto PAÍS más la retención del 35% en concepto de Ganancias, se colocó en los $ 131, muy cerca del valor del CCL.Mercado bursátilEn este contexto, el índice S&P Merval ganó 1,3% hasta las 40.324 unidades. El panel de la bolsa porteña fue liderado por Edenor (9,91%), seguido por Transportadora Gas del Sur (5,88%) y Central Puerto SA (5,29%). En sentido opuesto, los únicos papeles que pierden son los de Aluar (-1,49%) e YPF (-0,73%).Por su parte, las acciones argentinas que cotizan en Wall Street fueron a la baja. Las mayores caídas fueron para Corporación América (-4,0%), Despegar (-3,7%) e YPF (-3,5%). Sin embargo, Ternium trepó 3,2%, seguido por Transportadora Gas del Sur (2,2%) y Edenor (1,9%). Respecto al riesgo país, el indicador elaborado por el banco JP Morgan para medir la diferencia que pagan los bonos del Tesoro de Estados Unidos contra el resto de los países, subió 1,6% hasta los 1.256 puntos. EL DESTAPE RADIO EN VIVO ►",https://www.eldestapeweb.com/economia/cotizaciones/dolar-blue-hoy-el-18-de-septiembre-no-se-movio-y-cerro-a-140-202091817420
1,Estados Unidos prohíbe TikTok y WeChat a partir del domingo,"18 de septiembre, 2020 | 12.27","Las descargas de las aplicaciones chinas TikTok y WeChat estarán prohibidas en Estados Unidos a partir del domingo por considerar que constituyen ""amenazas a la seguridad nacional"", informó el Departamento de Comercio de ese país, en un nuevo capítulo en la guerra comercial y política entre las principales potencias del mundo.Guerra Judicial en Argentina""El Partido Comunista de China demostró que tiene los medios y la intención de utilizar estas aplicaciones para amenazar la seguridad nacional, la política exterior y la economía de Estados Unidos"", indicó la dependencia en un comunicado. Según la Casa Blanca, la aplicación capta automáticamente ""grandes cantidades de información"" de sus usuarios, incluida datos sobre Internet y otras actividades de la red, como de la localización y de la navegación e historiales de búsqueda.MÁS INFOEl presidente de Estados Unidos, Donald Trump, lanzó el 3 de agosto pasado un ultimátum a la compañía china ByteDance, propietaria de la red social de microvideos, a la que le advirtió que o vende sus acciones antes del 15 de septiembre o la prohibirá en su país. ""[TikTok] cerrará el 15 de septiembre a menos que Microsoft u otra empresa sea capaz de comprarla y lograr un trato adecuado de forma que el Tesoro de Estados Unidos consiga mucho dinero"", aseguró el mandatario.""Las acciones de hoy demuestran una vez más que el presidente Trump hará todo lo que esté a su alcance para garantizar nuestra seguridad nacional y proteger a los estadounidenses de las amenazas del Partido Comunista Chino"", dijo el secretario del Departamento de Comercio de Estados Unidos, Wilbur Ross.Y añadió: ""Hemos tomado medidas significativas para combatir la recopilación maliciosa de datos personales de ciudadanos estadounidenses por parte de China, al tiempo que promovemos nuestros valores nacionales, normas democráticas basadas en reglas y una aplicación agresiva de las leyes y regulaciones estadounidenses"".MÁS INFOTikTok rechaza de plano la acusación del Gobierno estadounidense y en su último informe de transparencia mostró que en el segundo semestre de 2019 la aplicación recibió 500 solicitudes de información presentados por gobiernos de 26 países, y ninguna fue hecha por China ni Hong Kong.En ese sentido, la empresa ByteDance presentó a fines del mes pasado una denuncia ante los tribunales federales de Estados Unidos para impugnar la decisión de la Administración de ese país de prohibir esa aplicación, al argumentar que ""no hay evidencia que lo justifique"" y que además pone en peligro miles de empleos.En medio de estas dificultades políticas, el director ejecutivo de TikTok en Estados Unidos, Kevin Mayer, renunció el 27 de agosto pasado tras haber asumido el control de la compañía apenas tres meses atrás.MÁS INFOEL DESTAPE RADIO EN VIVO ►",https://www.eldestapeweb.com/atr/donald-trump/estados-unidos-prohibe-tiktok-y-wechat-a-partir-del-domingo-202091812270
2,El Gobierno baja la tarifa de gas para el interior y publicó los nuevos valores,"18 de septiembre, 2020 | 08.16","El ENARGAS aprobó los nuevos cuadros tarifarios de Gas Propano Indiluído por redes (GLP) con tarifas más bajas a las que se venían aplicando en los últimos 12 meses con vigencia al 1° de julio de 2020.Guerra Judicial en ArgentinaLas modificaciones se dieron según lo acordado en el Décimo Séptimo Acuerdo de Prórroga del Acuerdo de Abastecimiento de Gas Propano para Redes de Distribución de Gas Propano Indiluido. El objetivo es renovar el régimen de abastecimiento del gas propano a  las Distribuidoras y/o Subdistribuidoras al precio acordado.MÁS INFOSegún se publicó esta mañana en el Boletín Oficial, se fijaron los nuevos cuadros tarifarios, determinados para el segundo semestre del 2020, de Camuzzi Gas del Sur S.A, Distribuidora de Gas Cuyana S.A, Camuzzi Gas Pampeana S.A, Distribuidora de Gas del Centro S.A, Litoral Gas S.A. y Gas Nea S.A. A raíz de esta importante medida, las Distribuidoras y Subdistribuidoras pertinentes deberán refacturar -con los nuevos cuadros tarifarios vigentes- a usuarios y usuarias que utilicen GLP por redes en todo el país, las liquidaciones que ya hubieran emitido por períodos de lectura que incluyan días de consumo desde la fecha de vigencia ya indicada (1° de julio de 2020), y efectuar la devolución acreditándolo en la primera factura que se emita al usuario, bajo el concepto “Devolución  Res. ENARGAS N° XXXX/20”.MÁS INFOEn caso de que quedara saldo por devolver, se trasladará a la factura subsiguiente, hasta su concurrencia. Es decir que, por ejemplo, si por un bimestre con días de consumo entre junio y julio, se recibieron dos facturas mensuales por $2.766 cada una, en función de las nuevas tarifas deberían haber sido de $2.239. La diferencia de $527 por cada una de ellas, que hace un monto total de $1054 se descontará en la factura inmediata siguiente. O sea que, si esta última fuera por ejemplo de $2.535, pagaría $1.481 ($2.535-$1054).  EL DESTAPE RADIO EN VIVO ►",https://www.eldestapeweb.com/economia/tarifazo/el-gobierno-baja-la-tarifa-de-gas-para-el-interior-y-publico-los-nuevos-valores-20209188160
3,Presupuesto 2021 y dólar: Qué dijo el FMI,"17 de septiembre, 2020 | 20.05","El Fondo Monetario Internacional (FMI) aseguró este jueves que inició su análisis sobre el proyecto de Ley de Presupuesto que elevó el Gobierno y de las medidas cambiarias tomadas por el Banco Central esta semana. La revisión de la políticas y las cifras se corresponden con la negociación que lleva a cabo el equipo económico que conduce Martín Guzmán con el staff del organismo para alcanzar un programa. Guerra Judicial en Argentina“Tomamos nota del borrador del presupuesto federal 2021 y de las medidas anunciadas por el Banco Central para endurecer los controles cambiarios. Actualmente estamos evaluando estas medidas y las discutiremos con las autoridades en el contexto de nuestro diálogo en curso”, aseguraron desde el organismo ante la consulta de periodistas a través de la cuenta oficial.El Banco Central anunció un paquete de medidas para desestimular la demanda de dólares, que incluye un retención de 35% a cuenta de Ganancias para la compra de dólar ahorro (se adiciona al impuesto PAIS), la prohibición de realizar operaciones de contado con liquidación para no residentes, la deducción de los gastos con tarjeta en el cómputo del cupo de los 200 dólares al mes siguiente y el límite de 40% para cancelar deuda privada a través del Mercado Único y Libre de Cambios; el resto se reestructura. MÁS INFOEl Gobierno espera reprogramar vencimientos hacia adelante y descomprimir los pagos previstos para los próximos dos años, por un monto total de 44.000 millones de dólares en base al último acuerdo firmado en 2018 durante la presidencia de Mauricio Macri.“Nuestro objetivo final es ayudar a las autoridades con sus planes para fortalecer la estabilidad macroeconómica, impulsar el crecimiento y la creación de empleo, reducir la pobreza y superar esta difícil crisis”, afirmó la fuente del organismo que conduce Kristalina Georgieva.La semana pasada Rice brindó la primera conferencia de prensa luego de receso estival boreal, donde confirmó que la Argentina y el FMI se encuentran ""en las etapas iniciales del proceso"" de negociaciones, luego de la solicitud formal presentada por el país el pasado 26 de agosto.EL DESTAPE RADIO EN VIVO ►",https://www.eldestapeweb.com/economia/crisis-economica/presupuesto-2021-y-dolar-que-dijo-el-fmi-20209172050
4,BCRA extiende hasta fin de año suspensión del cobro de comisiones para operar en cajeros,"17 de septiembre, 2020 | 19.57","El Banco Central prorrogó hasta el 31 de diciembre la suspensión del cobro de todos los cargos para operar en cajeros automáticos. Esta medida, establecida para facilitar la operatoria de los usuarios, ya se encontraba vigente hasta el 30 de junio y tuvo na primera prórroga hasta el 30 de septiembre inclusive. También se prorroga hasta fin de año el no cobro de intereses punitorios sobre cuotas de créditos impagas..Guerra Judicial en ArgentinaLas entidades financieras no pueden cobrar cargos ni comisiones por cualquiera de las operaciones (depósitos, extracciones, consultas, entre otras) efectuadas mediante todos los cajeros automáticos habilitados y operados por ellas en el país, más allá del importe o de la cantidad de extracciones, sea el usuario cliente o no de la entidad.También continúa vigente la medida que establece que todas las entidades deben permitir montos de extracción por cajero automático como mínimo de 15.000 pesos (acumulado diario). Esto incluye a las extracciones realizadas tanto por personas humanas como jurídicas, con independencia de si son clientes o no de la entidad. MÁS INFOEl organismo además prolongar hasta el 31 de diciembre el periodo en el que las entidades no pueden cargar intereses punitorios sobre los montos no pagados de créditos concedidos. De esta manera, los saldos impagos de créditos otorgados por entidades financieras, incluyendo los que se actualizan por UVA, cuyas cuotas vencen entre el 1 de abril y el 31 de diciembre de 2020, no devengarán intereses punitorios. Además, se ratifica que las cuotas impagas deberán incorporarse en los meses siguientes al final de vida del crédito, considerando el devengamiento de la tasa de interés compensatorio. Esta norma no incluye las financiaciones con tarjetas de crédito.""En el contexto actual es importante recordar que los usuarios cuentan con el derecho de revertir los débitos directos y los débitos automáticos, dentro de los 30 días corridos contados desde la fecha del débito y la obligación de las entidades de devolver los fondos dentro de los tres días hábiles de la solicitud"", comunicó el Directorio del Banco Central en un comunicado.Por otra parte, el Directorio, en la misma norma, prolongó la vigencia hasta el 31 de diciembre de 2020 de la disposición que extiende 60 días los plazos habituales de mora máxima en la calificación de deudores en los niveles 1, 2 y 3. EL DESTAPE RADIO EN VIVO ►",https://www.eldestapeweb.com/economia/coronavirus-en-argentina/bcra-extiende-hasta-fin-de-ano-suspension-del-cobro-de-comisiones-para-operar-en-cajeros-202091719570
5,"Dólar hoy jueves 17 de septiembre: a cuánto cotizan el blue, ahorro y el CCL","17 de septiembre, 2020 | 18.19","En la segunda rueda tras el endurecimiento en los controles sobre la venta de dólares, el precio del billete en las cuevas se contrajo 4 pesos a 141 pesos y volvió los niveles de julio pasado. La versión blue había aumentado 14 pesos en la jornada previa hasta ajustarse en valores por encima del nuevo dólar ahorro. El dólar MEP se negoció a 125,80 pesos, mientras que el contado con liquidación operó en 131,74 pesos.Guerra Judicial en ArgentinaEl Banco Central, la Comisión de Valores y la AFIP lanzaron un paquete de medidas para restringir el acceso a la divisa, entre las que se destaca la aplicación de una alícuota adicional de 35% a cuenta de Ganancias y Bienes Personales.El dólar ahorro quedó entonces a 131,32 pesos tras la aplicación de esta retención y el impuesto PAIS. La brecha con el oficial mayorista cayó al 87,2%, luego de superar el miércoles el 92%. El spread entre ambas cotizaciones llegó a alcanzar un máximo de 104% a mediados de mayo.MÁS INFOEl Banco Central efectuó también una subasta de Letras de Liquidez (Leliq) a 28 días de plazo, en la que la tasa anual de política monetaria se mantuvo en 38%. En la operación el monto adjudicado fue de 171.850 millones de pesos. En el mercado estiman que el Banco Central vendió unos 40 millones de dólares, contra los apenas 15 millones que compró el miércoles. Las cotizaciones financieras también cedieron ante las intervención oficial con venta de títulos. El dólar MEP se negoció a 125,80 pesos (-1,4%), mientras que el contado con liqui operó en 131,74 (-0,1%).EL DESTAPE RADIO EN VIVO ►",https://www.eldestapeweb.com/economia/dolar/dolar-hoy-jueves-17-de-septiembre-a-cuanto-cotizan-el-blue-ahorro-y-el-ccl-202091718190
6,Una familia necesitó en agosto $ 45.478 para no caer en la pobreza,"17 de septiembre, 2020 | 16.45","Una familia tipo (compuesta de dos mayores y dos menores) requirió durante agosto de 45.478 pesos para no caer en la línea de pobreza y 18.792 pesos para adquirir la canasta básica de alimentos. Guerra Judicial en ArgentinaSegún informó este jueves el INDEC, en línea con la inflación registrada en el mismo periodo , la suba de la canasta alimentaria (CBA) con respecto a julio previo fue de 2,6%, mientras que el incremento de la canasta básica total (CBT) alcanzó a 2,1%.De acuerdo con el último informe oficial, la canasta de alimentos básicos aumentaron respecto a igual mes del año pasado en 41,7%,  equivalente 5534 pesos más para una familia de cuatro integrantes. El lo que va del año la cesta alimentaria acumula un alza 20,6%, con una leve desaceleración en agosto respecto a los meses previos. MÁS INFOSi se toma la canasta básica total, que incluye indumentaria, servicios y gastos del hogar, el aumento interanual fue para un hogar de dos mayores y dos menores se requirió en agosto 12.465 pesos más que en igual mes del año pasado, lo que representó un alza de 37,8%, por debajo de la canasta básica. Esto se explica por el congelamiento de varios precios regulados. Según el documento oficial, en agosto de 2019 la línea de pobreza por individuo se ubicó en 14.717 pesos y la de indigencia, de 6081 pesos.  EL DESTAPE RADIO EN VIVO ►",https://www.eldestapeweb.com/economia/crisis-economica/una-familia-necesito-en-agosto-45-478-para-no-caer-en-la-pobreza-202091716450
7,"Trabajador de Glovo: ""Cobramos $ 6.000 por quincena y no tenemos ni siquiera casco""","17 de septiembre, 2020 | 16.27","Los repartidores de Glovo denuncian que cobran menos de cien pesos por hora y que por trabajar cinco horas diarias en una quincena alcanzan sólo 6000 pesos, es decir tres veces menos que la canasta básica en la Ciudad de Buenos Aires y un sueldo por debajo de la línea de la indigencia. Además, señalan que la empresa no les brinda ningún elemento de seguridad y hasta les cobra por usar la aplicación. Temen quedar sin empleo cuando Glovo consiga la firma del traspaso a Pedidos Ya, aunque el Gobierno desmiente que puedan haber despidos. Guerra Judicial en Argentina""Cobramos por trabajar cinco horas unos 600 pesos por día y los fines de semana podés llegar a juntar 1000 pesos. Por quincena serían unos 6000 pesos y a eso hay que descontarle todos los gastos que tenemos, entre ellos el monotributo que son más de dos mil pesos, el pago por usar la aplicación y el medio de transporte que usamos"", explicó en una entrevista con El Destape Ariel García, trabajador de Glovo y miembro de la Red de Precarizados, quienes exigen a las aplicaciones el pago de ART, obra social y que los integren en un convenio laboral. Ante la información que indica que los empleados de Glovo serían contratados por Pedidos Ya, García contó a El Destape que recibieron un mail de la empresa que les indicaba que serían absorbidos. ""Pero en el link que nos enviaron para anotarnos nos dirigía a una postulación en Pedidos Ya que puede hacer cualquier persona, es decir que no hay ninguna garantía para nosotros"", advirtió Este proyecto lo hacemos en grupo. Sostené a El Destape con un click acá. Sigamos haciendo historia.SUSCRIBITE A EL DESTAPE Desde el Gobierno explicaron a este medio que primero la Inspección General de Justicia (IGJ) deberá aprobar que la empresa española Glovo venda su operación en América latina a la alemana Delivery Hero, dueña de Pedidos Ya. Luego, el Ministerio de Trabajo evaluara cómo se hace el traspaso que deberá garantizar el mantenimiento de todos los puestos de empleo. ""No puede haber despidos"", reafirmaron desde el Ministerio de Trabajo. En Argentina, Glovo tiene 70 empleados y otros 3.000 repartidores (trabajadores “por cuenta propia” que venden sus servicios mediante un contrato de colaboración). Delivery Hero ya había invertido en Glovo 51 millones de euros y ahora compró el resto de la compañía por otros 270 millones, con lo que además de Argentina sumará los mercados de Perú, Ecuador, Costa Rica, Honduras y Guatemala.-¿Cómo se enteraron que Glovo iba a vender la empresa en Argentina a Pedidos Ya?-La empresa nos mandó un mail diciendo que se iba de la Argentina, eso pasó en otras partes del mundo, donde se fueron sin pagar ninguna indemnización. En 2018 se hizo un relevamiento de las aplicaciones donde dio a entender que hay un fraude laboral, porque no estamos en ningún convenio. El gobierno no ha hecho nada para cambiar esto y Glovo entonces establece que no hay relación laboral, entonces ellos van a levantar todo y se van a ir. -¿Glovo les garantizó que van a continuar con su trabajo en Pedidos Ya? -Nos enviaron un mail diciendo que nos invitan a que nos postulemos a seguir prestando servicios en Pedidos Ya y nos mandan un link. Ahora nosotros entramos a ese link y nos redirige a una postulación que puede hacer cualquier persona. Es decir que no nos garantizan nada, ni hay algún traspaso. Ellos no nos consideran trabajadores. -¿Cómo fue tu contratación en Glovo?- Para empezar tenes que entrar al sitio, donde te anotas y cargas los datos. Te piden el monotributo, antecedentes penales y DNI. Ellos se toman un tiempo para la aprobación que no está establecido. Una vez que te aprueban, te dan la mochila y un cargador portátil que sale 1200 pesos que es debitado de los primeros días de trabajo que haces. -¿No les dan ningún elemento de seguridad? -Nada, ni casco, ni seguro por riesgo de trabajo ya que andamos en la calle. Tampoco nos dan la bicicleta, no nos dan el teléfono que usamos para los pedidos. No nos dieron barbijo, tampoco alcohol en gel para protegernos en la pandemia. No nos dan nada, nos tratan como clientes y no como trabajadores. Incluso nos cobran 454 pesos mensuales por usar la plataforma. MÁS INFO-¿Ustedes cobran quincenalmente por la cantidad de viajes que realizan?-Sí, nosotros le tenemos que facturar lo que cobramos. Nos pagan quincenalmente, por pedido y por kilómetro recorrido en la entrega. Nos pagan 10 pesos por kilómetro recorrido. Los trabajadores de Glovo realizarán una movilización este jueves a las 18 junto a las personas que luchan por su vivienda en la toma de tierras de Guernica.  -¿Cuánto cobran aproximadamente entonces? -Cobramos por trabajar cinco horas unos 600 pesos por día y los fines de semana podés llegar a juntar 1000 pesos. Por quincena serían unos 6000 pesos y a eso hay que descontarle todos los gastos que tenemos, entre ellos el monotributo que son dos mil pesos, el pago por usar la aplicación y el medio de transporte que usamos. Con los descuentos cobramos menos de 100 pesos por hora. EL DESTAPE RADIO EN VIVO ►",https://www.eldestapeweb.com/politica/crisis-economica/trabajador-de-glovo-cobramos-6-000-por-quincena-y-no-tenemos-ni-siquiera-casco--202091716270
8,Temporada de verano con coronavirus: así serán las vacaciones,"17 de septiembre, 2020 | 15.41","Septiembre empieza a dejar atrás el frío del invierno y nos adentra en temperaturas más cálidas que nos recuerdan una meta en el horizonte: las vacaciones de verano. Sin embargo, es de público conocimiento que el coronavirus trajo incertidumbre en todos los aspectos de la vida y que la temporada en los destinos turísticos locales tenía más dudas que certezas.Guerra Judicial en ArgentinaA principios de julio de este año, el Ministerio de Turismo y Deporte (Minturdep) comenzaba a arrojar una luz de esperanza para quienes anhelan sus vacaciones. El programa de Preventa Turística, orientado a fomentar la demanda de turismo interno y estimular la actividad económica, fue promocionado por la cartera y prometía inyectar 30 mil millones de pesos en el sector. Hoy, el plan tiene una fecha estimativa de inicio.""Dentro de una semana a diez días, más o menos, estamos lanzando el Plan de Preventa Turística para que la gente empiece a contratar servicios turísticos, alojamiento, pasajes"", confirmaron fuentes del Ministerio de Turismo a El Destape, y detallaron que planean ""desde el Estado dar un 50% de lo que cada uno gasta. Super ambicioso. Eso para que la gente pueda empezar a planificar sus vacaciones de verano"".La Preventa Turística, que se extenderá entre septiembre y diciembre, es un plan a través del cual el gobierno nacional aportará unos 16.500 millones de pesos mediante la entrega de un subsidio a los turistas equivalente al 50% del valor del gasto que efectúen en la contratación de un viaje para realizar entre enero y diciembre de 2021. Así, un turista que gasta 100 mil pesos en la compra de un viaje a futuro en una agencia o en forma particular, podrá presentar en un sitio web del Minturdep las facturas correspondientes para recibir el 50% de ese valor en una tarjeta de débito del Banco Nación para utilizar, sólo en servicios turísticos y durante todo 2021.""Estamos trabajando para que haya temporada turística de verano, que por supuesto será distinta a lo que conocemos. A nivel económico sería muy complicado no tener temporada debido a la importancia del sector para todo el país. El 9% del total del PBI de Argentina corresponde a actividades vinculadas con el turismo y representa el 7,5% del total de los empleos. Nuestra industria es clave para la economía nacional"", ponderaron.MÁS INFOProtocolos sanitariosUno de las principales preocupaciones a la hora de pensar en la temporada de verano es la tensión que vive el sistema sanitario en el peor momento de la pandemia. Por esto, los protocolos son una constante en la relación entre el Ministerio y las autoridades de los principales sitios turísticos. ""A través del CFT, que es el Consejo Federal de Turismo tenemos vínculo constante con las 24 provincias. La comunicación es sumamente relevante, sobre todo en tiempos de crisis, y afortunadamente el diálogo es fluido, los intercambios son muy productivos y el trabajo en conjunto muy fructífero"", valoraron los voceros de la cartera.""Hasta el momento ya se aprobaron varios protocolos turísticos para distintos segmentos, por ejemplo, para Parques Temáticos, para Turismo Rural, para Enoturismo, para Guías de turismo, para Centros de Esquí, para Turismo de reuniones, para Prestadores turísticos, para Agencias de viaje y turismo, y para Establecimientos gastronómicos y alojamientos. Seguimos trabajando en otros protocolos, que serán muy exigentes y detallados. Todos están unificados y tienen una homologación federal, aunque algunas condiciones de ingreso a cada localidad dependen de cada jurisdicción"".Diez días atrás, Axel Kicillof acordó con los intendentes de la Costa Atlántica conformar una mesa de trabajo para evaluar la situación sanitaria y analizar los distintos escenarios posibles. ""Queremos preservar la salud de los habitantes de cada localidad y coordinar para que todos los distritos puedan atender a sus vecinos"", graficó el gobernador.En Mar del Plata, para ir con un ejemplo concreto de uno de los destinos más frecuentados en la Costa Atlántica, los turistas deberán someterse a un hisopado antes de ingresar a la ciudad para verificar que no porten el coronavirus. Así lo anunció el intendente del partido de General Pueyrredón Guillermo Montenegro. “Siempre vamos a mirar el tema de cómo es el ingreso"", dijo el jefe municipal, y añadió que ""hoy, si no hay otro adelanto, será con el hisopado y el control"", porque ""tener un seguimiento de las personas que entran a la ciudad es clave”.MÁS INFOEL DESTAPE RADIO EN VIVO ►",https://www.eldestapeweb.com/sociedad/coronavirus-en-argentina/temporada-de-verano-con-coronavirus-asi-seran-las-vacaciones-202091715410
9,Enargas publicó nuevo cuadro tarifario para gas licuado con rebajas de casi 20%,"17 de septiembre, 2020 | 15.38","El Ente Nacional Regulador del Gas (Enargas) aprobó nuevos cuadros tarifarios de Gas Propano Indiluído por redes (GLP), con rebajas de 19,05 por ciento, de aplicación retroactiva y alcance a más de 23.713 usuarios en las regiones Litoral, Cuyo, Pampeana y Sur del país. Según notificó el ente regulador el cuadro incluye tarifas más bajas a las que se venían aplicando en los últimos 12 meses con vigencia al 1 de julio último.Guerra Judicial en ArgentinaA raíz de esta medida, las distribuidoras y subdistribuidoras deberán refacturar con los nuevos cuadros tarifarios vigentes a usuarios y usuarias que utilicen GLP por redes en todo el país, las liquidaciones que ya hubieran emitido por períodos de lectura que incluyan días de consumo desde el 1 de julio.La medida beneficia a 21.807 hogares, 1507 comercios, 30 industrias y 371 entes oficiales, en total 23.713 usuarios en las regiones Litoral, Cuyo, Pampeana, y Sur del país.Según precisó el Enargas, deberán ""efectuar la devolución, acreditándolo en la primera factura que se emita al usuario, y si eventualmente quedara saldo por devolver, se trasladará al cobro subsiguiente, hasta su concurrencia"". Estos cuadros regirán para las distribuidoras Camuzzi Gas del Sur, Gas Cuyana, Camuzzi Gas Pampeana, Gas del Centro, Litoral Gas y Gas Nea.MÁS INFOSi por un bimestre con días de consumo entre junio y julio se recibieron dos facturas mensuales por 2766 pesos cada una, en función de las nuevas tarifas deberían haber sido de 2239. Esto implica una reducción de 19,05 por ciento. La refacturación debería ser sobre la última factura, pero incluyendo la diferencia del bimestre, con lo cual el descuento en ese pago sería entonces de 41,6 por ciento sobre la boleta ya emitida.La rebaja se implementó en razón del Décimo Séptimo Acuerdo de Prórroga del Acuerdo de Abastecimiento de Gas Propano para Redes de Distribución de GLP, suscripto por la Secretaría de Energía y los productores. ""Este acuerdo tiene por objeto renovar el régimen de abastecimiento de gas propano a las distribuidoras y subdistribuidoras de GLP al precio acordado"", aseguró Enargas. Esta semana, la Cámara Argentina de Distribuidores de Gas Licuado (CADIGAS) denunció que, “debido a las fuertes pérdidas acumuladas al estar trabajando con márgenes muy inferiores a los necesarios para cubrir los costos de operación, unas 180 pequeñas y medianas empresas se encuentran en estado terminal, empujadas hacia la quiebra”, con lo cual alertan a la población sobre “el riesgo inminente de desabastecimiento de un insumo crítico para 10 millones de personas que viven en zonas vulnerables de todo el país”.EL DESTAPE RADIO EN VIVO ►",https://www.eldestapeweb.com/economia/energia/enargas-publico-nuevo-cuadro-tarifario-para-gas-licuado-con-rebajas-de-casi-20--202091715380
